States,Latitude,Longitude,totalConfirmedCases,recovered,deaths
Andaman and Nicobar Islands,11.66702557,92.73598262,10,0,0
Andhra Pradesh,14.7504291,78.57002559,132,1,1
Arunachal Pradesh,27.10039878,93.61660071,1,0,0
Assam,26.7499809,94.21666744,16,0,0
Bihar,25.78541445,87.4799727,24,0,1
Chandigarh,30.71999697,76.78000565,18,0,0
Chhattisgarh,22.09042035,82.15998734,9,2,0
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA
Delhi,28.6699929,77.23000403,219,8,4
Goa,15.491997,73.81800065,6,0,0
Haryana,28.45000633,77.01999101,43,21,0
Himachal Pradesh,31.10002545,77.16659704,6,1,1
Jammu and Kashmir,34.29995933,74.46665849,70,3,2
Jharkhand,23.80039349,86.41998572,2,0,0
Karnataka,12.57038129,76.91999711,124,10,3
Kerala,8.900372741,76.56999263,286,27,2
Lakshadweep,10.56257331,72.63686717,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,99,0,6
Maharashtra,19.25023195,73.16017493,335,42,16
Manipur,24.79997072,93.95001705,2,0,0
Meghalaya,25.57049217,91.8800142,NA,NA,NA
Mizoram,23.71039899,92.72001461,1,0,0
Nagaland,25.6669979,94.11657019,NA,NA,NA
Odisha,19.82042971,85.90001746,5,0,0
Puducherry,11.93499371,79.83000037,3,1,0
Punjab,31.51997398,75.98000281,46,1,4
Rajasthan,26.44999921,74.63998124,133,3,0
Sikkim,27.3333303,88.6166475,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,309,6,1
Tripura,23.83540428,91.27999914,NA,NA,NA
Uttar Pradesh,27.59998069,78.05000565,113,14,2
Uttarakhand,30.32040895,78.05000565,10,2,0
West Bengal,22.58039044,88.32994665,53,3,3
Ladakh,34.152588,77.577049,14,3,0
Telengana,18.1124,79.0193,107,1,3
Gujarat,22.2587,71.1924,87,8,7
