States,Latitude,Longitude,totalConfirmedCases,recovered,deaths
Andaman and Nicobar Islands,11.66702557,92.73598262,33,11,0
Andhra Pradesh,14.7504291,78.57002559,1183,235,31
Arunachal Pradesh,27.10039878,93.61660071,1,1,0
Assam,26.7499809,94.21666744,36,27,1
Bihar,25.78541445,87.4799727,345,57,2
Chandigarh,30.71999697,76.78000565,40,17,0
Chhattisgarh,22.09042035,82.15998734,37,32,0
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA
Delhi,28.6699929,77.23000403,3108,877,54
Goa,15.491997,73.81800065,7,7,0
Haryana,28.45000633,77.01999101,296,183,3
Himachal Pradesh,31.10002545,77.16659704,40,22,1
Jammu and Kashmir,34.29995933,74.46665849,546,164,7
Jharkhand,23.80039349,86.41998572,82,13,3
Karnataka,12.57038129,76.91999711,512,193,20
Kerala,8.900372741,76.56999263,481,355,4
Lakshadweep,10.56257331,72.63686717,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,2168,302,110
Maharashtra,19.25023195,73.16017493,8590,1282,369
Manipur,24.79997072,93.95001705,2,2,0
Meghalaya,25.57049217,91.8800142,12,0,1
Mizoram,23.71039899,92.72001461,1,0,0
Nagaland,25.6669979,94.11657019,NA,NA,NA
Odisha,19.82042971,85.90001746,118,37,1
Puducherry,11.93499371,79.83000037,8,3,0
Punjab,31.51997398,75.98000281,313,71,18
Rajasthan,26.44999921,74.63998124,2262,669,46
Sikkim,27.3333303,88.6166475,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,1937,1101,24
Tripura,23.83540428,91.27999914,2,2,0
Uttar Pradesh,27.59998069,78.05000565,1955,335,31
Uttarakhand,30.32040895,78.05000565,51,33,0
West Bengal,22.58039044,88.32994665,697,109,20
Ladakh,34.152588,77.577049,20,14,0
Telengana,18.1124,79.0193,1004,321,26
Gujarat,22.2587,71.1924,3548,394,162
