States,Latitude,Longitude,totalConfirmedCases,recovered,deaths
Andaman and Nicobar Islands,11.66702557,92.73598262,16,11,0
Andhra Pradesh,14.7504291,78.57002559,722,92,20
Arunachal Pradesh,27.10039878,93.61660071,1,0,0
Assam,26.7499809,94.21666744,35,19,1
Bihar,25.78541445,87.4799727,113,42,2
Chandigarh,30.71999697,76.78000565,26,13,0
Chhattisgarh,22.09042035,82.15998734,36,25,0
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA
Delhi,28.6699929,77.23000403,2081,431,47
Goa,15.491997,73.81800065,7,7,0
Haryana,28.45000633,77.01999101,254,127,3
Himachal Pradesh,31.10002545,77.16659704,39,16,1
Jammu and Kashmir,34.29995933,74.46665849,368,71,5
Jharkhand,23.80039349,86.41998572,46,0,2
Karnataka,12.57038129,76.91999711,408,112,16
Kerala,8.900372741,76.56999263,408,291,3
Lakshadweep,10.56257331,72.63686717,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,1485,127,74
Maharashtra,19.25023195,73.16017493,4666,572,232
Manipur,24.79997072,93.95001705,2,2,0
Meghalaya,25.57049217,91.8800142,11,0,1
Mizoram,23.71039899,92.72001461,1,0,0
Nagaland,25.6669979,94.11657019,0,0,0
Odisha,19.82042971,85.90001746,74,24,1
Puducherry,11.93499371,79.83000037,7,3,0
Punjab,31.51997398,75.98000281,245,38,16
Rajasthan,26.44999921,74.63998124,1576,205,25
Sikkim,27.3333303,88.6166475,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,1520,457,17
Tripura,23.83540428,91.27999914,2,1,0
Uttar Pradesh,27.59998069,78.05000565,1184,140,18
Uttarakhand,30.32040895,78.05000565,46,18,0
West Bengal,22.58039044,88.32994665,392,73,12
Ladakh,34.152588,77.577049,18,14,0
Telengana,18.1124,79.0193,873,190,23
Gujarat,22.2587,71.1924,1939,131,71
