States,Latitude,Longitude,totalConfirmedCases,recovered,deaths
Andaman and Nicobar Islands,11.66702557,92.73598262,10,0,0
Andhra Pradesh,14.7504291,78.57002559,305,1,4
Arunachal Pradesh,27.10039878,93.61660071,1,0,0
Assam,26.7499809,94.21666744,27,0,0
Bihar,25.78541445,87.4799727,38,0,1
Chandigarh,30.71999697,76.78000565,18,7,0
Chhattisgarh,22.09042035,82.15998734,10,9,0
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA
Delhi,28.6699929,77.23000403,576,21,9
Goa,15.491997,73.81800065,7,0,0
Haryana,28.45000633,77.01999101,147,28,3
Himachal Pradesh,31.10002545,77.16659704,18,2,1
Jammu and Kashmir,34.29995933,74.46665849,116,4,2
Jharkhand,23.80039349,86.41998572,4,0,0
Karnataka,12.57038129,76.91999711,175,25,4
Kerala,8.900372741,76.56999263,336,70,2
Lakshadweep,10.56257331,72.63686717,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,229,0,13
Maharashtra,19.25023195,73.16017493,1018,79,64
Manipur,24.79997072,93.95001705,2,0,0
Meghalaya,25.57049217,91.8800142,NA,NA,NA
Mizoram,23.71039899,92.72001461,1,0,0
Nagaland,25.6669979,94.11657019,NA,NA,NA
Odisha,19.82042971,85.90001746,42,2,1
Puducherry,11.93499371,79.83000037,5,1,0
Punjab,31.51997398,75.98000281,91,4,7
Rajasthan,26.44999921,74.63998124,328,21,3
Sikkim,27.3333303,88.6166475,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,690,19,7
Tripura,23.83540428,91.27999914,1,0,0
Uttar Pradesh,27.59998069,78.05000565,326,21,3
Uttarakhand,30.32040895,78.05000565,31,5,0
West Bengal,22.58039044,88.32994665,99,13,5
Ladakh,34.152588,77.577049,14,10,0
Telengana,18.1124,79.0193,364,35,7
Gujarat,22.2587,71.1924,165,25,13
