States,Latitude,Longitude,totalConfirmedCases,recovered,deaths
Andaman and Nicobar Islands,11.66702557,92.73598262,33,16,0
Andhra Pradesh,14.7504291,78.57002559,1463,403,33
Arunachal Pradesh,27.10039878,93.61660071,1,1,0
Assam,26.7499809,94.21666744,42,29,1
Bihar,25.78541445,87.4799727,426,82,2
Chandigarh,30.71999697,76.78000565,56,17,0
Chhattisgarh,22.09042035,82.15998734,40,36,0
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA
Delhi,28.6699929,77.23000403,3515,1094,59
Goa,15.491997,73.81800065,7,7,0
Haryana,28.45000633,77.01999101,313,209,3
Himachal Pradesh,31.10002545,77.16659704,40,28,1
Jammu and Kashmir,34.29995933,74.46665849,614,216,8
Jharkhand,23.80039349,86.41998572,111,20,3
Karnataka,12.57038129,76.91999711,576,235,22
Kerala,8.900372741,76.56999263,497,383,4
Lakshadweep,10.56257331,72.63686717,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,2719,482,137
Maharashtra,19.25023195,73.16017493,10498,1773,459
Manipur,24.79997072,93.95001705,2,2,0
Meghalaya,25.57049217,91.8800142,12,0,1
Mizoram,23.71039899,92.72001461,1,0,0
Nagaland,25.6669979,94.11657019,NA,NA,NA
Odisha,19.82042971,85.90001746,143,41,1
Puducherry,11.93499371,79.83000037,8,5,0
Punjab,31.51997398,75.98000281,357,90,19
Rajasthan,26.44999921,74.63998124,2584,836,58
Sikkim,27.3333303,88.6166475,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,2323,1258,27
Tripura,23.83540428,91.27999914,2,2,0
Uttar Pradesh,27.59998069,78.05000565,2281,555,41
Uttarakhand,30.32040895,78.05000565,57,36,0
West Bengal,22.58039044,88.32994665,795,139,33
Ladakh,34.152588,77.577049,22,16,0
Telengana,18.1124,79.0193,1039,441,26
Gujarat,22.2587,71.1924,4395,613,214
